"AppName","AppURL"
"Floorplanner","https://chrome.google.com/webstore/detail/abopacaefhbognnmeigicfpgnmpideag"
"UJAM - Make your music.","https://chrome.google.com/webstore/detail/apdiogojbmdncjdpljocafnigiokgmci"
"piZap Photo Editor","https://chrome.google.com/webstore/detail/occpjibghkbopohbefbejkklnfdkdmok"
"Evernote Web","https://chrome.google.com/webstore/detail/lbfehkoinhhcknnbdgnnmjhiladcgbol"
"Documents Automation for SalesforceIQ","https://chrome.google.com/webstore/detail/lkfhhkbekgdgcelceljpdobhgagbpeni"
"LibreOffice Draw on rollApp","https://chrome.google.com/webstore/detail/apaghoiaeioepkngbmdaifpagmcmiafo"
"Printable","https://chrome.google.com/webstore/detail/jihmnnkhocjgfhnffpigaachefmnelfg"
"Toggle Case","https://chrome.google.com/webstore/detail/bifagdopdcfddlcpkjakdbficomofmml"
"Kindle Cloud Reader","https://chrome.google.com/webstore/detail/icdipabjmbhpdkjaihfjoikhjjeneebd"
"Amazon Music","https://chrome.google.com/webstore/detail/cfkfgcfgfpgmkogcnibdjcckkpdiajgp"
"PDF Editor for Docs:Edit, Fill, Sign, Print","https://chrome.google.com/webstore/detail/cjboohgkgchdnfnjiaggdbkdmpieoagi"
"OpenOffice Draw on rollApp","https://chrome.google.com/webstore/detail/nkammnghfkbiabhfcfjhibmcabckphkl"
"Drive Word Cloud","https://chrome.google.com/webstore/detail/ielgnnbehadnmkcgpgnpmelggibcogdb"
"Lucidpress | Free Design Tool","https://chrome.google.com/webstore/detail/fdiljnnpfniifgbaippdemegmlhoohka"
"Sketchboard.io","https://chrome.google.com/webstore/detail/bgafhjpdkfjfmmjbebbdckolonomaoil"
"Research In Context","https://chrome.google.com/webstore/detail/cdpefipjhdifekejcbbhmajabbfpaofm"
"Realtimeboard for Education","https://chrome.google.com/webstore/detail/jgbminfdblackehpaaiemmkceciacpke"
"instaGrok","https://chrome.google.com/webstore/detail/flonaffkffjppejcafgpdgilebfikemd"
"Moo.do","https://chrome.google.com/webstore/detail/iffimmolghilclfndeiebgppddmagofk"
"Stylebot","https://chrome.google.com/webstore/detail/oiaejidbmkiecgbjeifoejpgmdaleoha"
"Chrome OS US English Female HQ","https://chrome.google.com/webstore/detail/efdojdlmjknacnljjdedapanceanigkh"
"Sticky Notes","https://chrome.google.com/webstore/detail/nbjdhgkkhefpifbifjiflpaajchdkhpg"
"Multiple Account Checker for Gmail™","https://chrome.google.com/webstore/detail/dnimhgelcnggigekhdjlifjpndgmnglm"
"DesignMantic","https://chrome.google.com/webstore/detail/abbmoibfpmcfmofhgjahikhgniacmebo"
"Number Frames, by The Math Learning Center","https://chrome.google.com/webstore/detail/idlcfdihcafblaoadpfeofbcbcmfogbc"
"Health-Food Frenzy","https://chrome.google.com/webstore/detail/mnmfdldblnpepcbhpbadjcmbagdoomjn"
"Citable","https://chrome.google.com/webstore/detail/jfiabcklnnhkmkcdjjpmgghiimjkaeio"
"Translate for Drive","https://chrome.google.com/webstore/detail/ogkbdbcogdiimcegjhgnlapdcicalfji"
"Snap It Button","https://chrome.google.com/webstore/detail/kclagiidcihmjfnlfdboggonemfhcklk"
"Time and Date","https://chrome.google.com/webstore/detail/nbcidfdehdgiphfmcngjjnmdhoeleihd"
"Personal Blocklist (by Google)","https://chrome.google.com/webstore/detail/nolijncfnkgaikbjbdaogikpmpbdcdef"
"OpenOffice Calc on rollApp","https://chrome.google.com/webstore/detail/jejhnaejegdjdkkpkaggfiibmknboagj"
"Timer Loop","https://chrome.google.com/webstore/detail/mdkfiefeoimmobmhdimachkfcpkgahlc"
"NoteBook","https://chrome.google.com/webstore/detail/dnjfefmblfbbogahfknbbldhicijojcd"
"PDF Viewer","https://chrome.google.com/webstore/detail/oemmndcbldboiebfnladdacbdfmadadm"
"Remote for Google Slides™","https://chrome.google.com/webstore/detail/pojijacppbhikhkmegdoechbfiiibppi"
"Contemporary Authors Online","https://chrome.google.com/webstore/detail/fdnmdliejlllnblamojcigenjfdooadh"
"Checker Plus for Google Calendar™","https://chrome.google.com/webstore/detail/hkhggnncdpfibdhinjiegagmopldibha"
"Documents Automation for HubSpot CRM","https://chrome.google.com/webstore/detail/blhmgnhdelcapjbigciidkaacjcfnmcp"
"Calculator","https://chrome.google.com/webstore/detail/decmldkknaaemlafplkkdmmmelbdnlja"
"Change Case","https://chrome.google.com/webstore/detail/lpakoahdokkkonadfppfgmednkknpgbm"
"Google Cast for Education","https://chrome.google.com/webstore/detail/bnmgbcehmiinmmlmepibeeflglhbhlea"
"Keep Awake","https://chrome.google.com/webstore/detail/bijihlabcfdnabacffofojgmehjdielb"
"Proofread Bot - Grammar and Style Checker","https://chrome.google.com/webstore/detail/cjnnmmjgjaaomkcjibnncokikbianjap"
"Storyboard That","https://chrome.google.com/webstore/detail/nlflnngknijojboglnnkonkcenocjepa"
"Co:Writer Universal (Extension)","https://chrome.google.com/webstore/detail/ifajfiofeifbbhbionejdliodenmecna"
"Squarespace","https://chrome.google.com/webstore/detail/geddkihdfoijkjbjfnjohmijooipepld"
"Anyfile Notepad","https://chrome.google.com/webstore/detail/ghlichmdnegmcpafgmmlpkegmcndlndi"
"Inkscape on rollApp","https://chrome.google.com/webstore/detail/icjinnaagdniegmfejingjjhljhmkopj"
"We Heart It","https://chrome.google.com/webstore/detail/iblenkmcolcdonmlfknbpbgjebabcoae"
"3DView","https://chrome.google.com/webstore/detail/hhngciknjebkeffhafnaodkfidcdlcao"
"Scrum for Trello","https://chrome.google.com/webstore/detail/jdbcdblgjdpmfninkoogcfpnkjmndgje"
"HelloSign for Gmail","https://chrome.google.com/webstore/detail/dciflieigdmogpmamcgbigingaodhnil"
"Spotify - Music for every moment","https://chrome.google.com/webstore/detail/cnkjkdjlofllcpbemipjbcpfnglbgieh"
"Pear Deck Kiosk","https://chrome.google.com/webstore/detail/mgkobdgilgenopejdohihinomjebkaal"
"Notepad++ on rollApp","https://chrome.google.com/webstore/detail/chnhdkjgpeonhdlilkjhhbahbciplhae"
"Venngage Infographics","https://chrome.google.com/webstore/detail/mmdbkgbefnfbmkdhhpiojkbganinpjoj"
"Table of Contents for GitHub","https://chrome.google.com/webstore/detail/hlkhpeomjgelmljaknhoboeohhgmmgcn"
"Screenleap","https://chrome.google.com/webstore/detail/hpcipbhehomfgjbgnajdhiahhdeeffbg"
"Zendesk Quicktab","https://chrome.google.com/webstore/detail/imgmkpifcfhbfdklogcpdnkohifklebb"
"My Homework Reminder","https://chrome.google.com/webstore/detail/jkfnehckplkpicbhiajnggoendjcendc"
"Flat - Music scores and guitar tabs editor","https://chrome.google.com/webstore/detail/mgfkpiieempkmppimblkblmlcmbdkbcg"
"Encyclopedia Britannica Searcher","https://chrome.google.com/webstore/detail/hfipegnjbpgdlgifpfdcfnjnhepckmbf"
"Dictionary of Literary Biography Online","https://chrome.google.com/webstore/detail/lhcdcdbcidbfmkhdpiajjglhieenphgn"
